ds,revenue,expenses
2023-01-01,18200,14800
2023-02-01,19100,15200
2023-03-01,20400,15800
2023-04-01,21200,16100
2023-05-01,21800,16400
2023-06-01,21400,16300
2023-07-01,21900,16500
2023-08-01,22600,16800
2023-09-01,24200,17200
2023-10-01,25800,17800
2023-11-01,28400,18600
2023-12-01,31200,20100
2024-01-01,27800,19200
2024-02-01,28900,19500
2024-03-01,30200,20100
2024-04-01,31500,20600
2024-05-01,32100,20900
2024-06-01,31400,20700
2024-07-01,32200,21100
2024-08-01,33500,21600
2024-09-01,35800,22400
2024-10-01,38200,23500
2024-11-01,41600,25100
2024-12-01,45800,27200
2025-01-01,40200,24800
2025-02-01,41800,25300
2025-03-01,43600,26100
2025-04-01,44900,26700
2025-05-01,45800,27100
2025-06-01,44900,26900
2025-07-01,46200,27400
2025-08-01,47800,28100
2025-09-01,51200,29800
2025-10-01,54600,31500
2025-11-01,59400,34200
2025-12-01,65200,37800
2026-01-01,57800,33900
2026-02-01,59900,34800
